id;start_date;end_date;language
1;2020-11-19T11:04:25;2020-11-19T08:54:40;SPANISH
2;2020-11-18T15:54:36;2020-11-19T10:59:01;SPANISH
3;2020-11-19T06:49:55;2020-11-18T17:24:04;FRENCH
4;2020-11-18T22:07:26;2020-11-19T09:38:52;FRENCH
5;2020-11-19T07:37:44;2020-11-19T12:24:43;FRENCH
6;2020-11-19T01:30:05;2020-11-19T13:38:19;FRENCH
7;2020-11-19T03:15:25;2020-11-18T21:06:16;FRENCH
8;2020-11-19T02:11:38;2020-11-19T12:27:46;SPANISH
9;2020-11-19T00:52:47;2020-11-18T21:34:10;SPANISH
10;2020-11-19T09:04:51;2020-11-18T19:39:21;SPANISH
