id;titre;description;isbn;code
1;navigating;Music Towels;Versatile;grow
2;service-desk global Fish;Intelligent;Wooden Antarctica (the territory South of 60 deg S) extensible;parse
3;Metrics Guatemala;networks Awesome Rubber Chips;Gorgeous Frozen Chicken Quality;Mongolia 24/7
4;e-business overriding deposit;streamline British Indian Ocean Territory (Chagos Archipelago);Dominican Peso payment;deliverables
5;copy;bandwidth;function;B2C
6;Liberian Dollar local reboot;indexing;application;Global Rand Namibia Dollar
7;RSS maroon;Producer;Money Market Account program;calculate
8;Future-proofed;Architect;Tuna Health;Global synthesizing Marketing
9;New Hampshire Gateway;Division;Virtual sky blue;port
10;plum;orchestrate;bifurcated;port
