GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pro Biblio,com.pro.ynov.com.security,SecurityUtils,67,22,11,3,15,7,12,3,6,2
Pro Biblio,com.pro.ynov.com.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Pro Biblio,com.pro.ynov.com.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Pro Biblio,com.pro.ynov.com.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Pro Biblio,com.pro.ynov.com,ProBiblioApp,110,24,10,2,23,8,8,3,2,3
Pro Biblio,com.pro.ynov.com,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Pro Biblio,com.pro.ynov.com.service.mapper,UserMapper,37,81,4,2,14,23,6,5,3,5
Pro Biblio,com.pro.ynov.com.web.rest,ThemeResource,0,133,0,4,0,26,0,8,0,6
Pro Biblio,com.pro.ynov.com.web.rest,LivreResource,0,133,0,4,0,26,0,8,0,6
Pro Biblio,com.pro.ynov.com.web.rest,EmplacementResource,0,133,0,4,0,26,0,8,0,6
Pro Biblio,com.pro.ynov.com.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Pro Biblio,com.pro.ynov.com.web.rest,ClientForwardController,2,3,0,0,1,1,1,1,1,1
Pro Biblio,com.pro.ynov.com.web.rest,UserResource,0,254,0,16,0,43,0,17,0,9
Pro Biblio,com.pro.ynov.com.web.rest,ExemplaireResource,0,133,0,4,0,26,0,8,0,6
Pro Biblio,com.pro.ynov.com.web.rest,AuteurResource,0,133,0,4,0,26,0,8,0,6
Pro Biblio,com.pro.ynov.com.web.rest,AccountResource,12,197,2,22,1,48,3,21,1,11
Pro Biblio,com.pro.ynov.com.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.web.rest,AuditResource,0,60,0,0,0,12,0,4,0,4
Pro Biblio,com.pro.ynov.com.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Pro Biblio,com.pro.ynov.com.web.rest,EmpruntResource,0,133,0,4,0,26,0,8,0,6
Pro Biblio,com.pro.ynov.com.service,AuditEventService,0,79,0,0,0,19,0,6,0,6
Pro Biblio,com.pro.ynov.com.service,UsernameAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.service,MailService,7,174,1,1,2,39,1,6,0,6
Pro Biblio,com.pro.ynov.com.service,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.service,UserService,4,612,7,15,1,163,7,32,0,28
Pro Biblio,com.pro.ynov.com.config,LoggingConfiguration,11,51,5,5,3,14,5,1,0,1
Pro Biblio,com.pro.ynov.com.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Pro Biblio,com.pro.ynov.com.config,StaticResourcesWebConfiguration,70,0,0,0,13,0,7,0,7,0
Pro Biblio,com.pro.ynov.com.config,DatabaseConfiguration,0,7,0,0,0,2,0,1,0,1
Pro Biblio,com.pro.ynov.com.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Pro Biblio,com.pro.ynov.com.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Pro Biblio,com.pro.ynov.com.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Pro Biblio,com.pro.ynov.com.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Pro Biblio,com.pro.ynov.com.config,SecurityConfiguration,0,212,0,0,0,52,0,5,0,5
Pro Biblio,com.pro.ynov.com.config,CacheConfiguration,0,185,0,2,0,36,0,10,0,9
Pro Biblio,com.pro.ynov.com.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Pro Biblio,com.pro.ynov.com.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Pro Biblio,com.pro.ynov.com.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
